text,label
"I am feeling great today and ready for my meeting",0
"I am struggling but I have a plan to stay sober",0
"Does anyone know when the Alateen meeting starts?",0
"I feel like I am going to relapse and I'm scared",1
"I can't do this anymore I am in so much pain",1
"I need help right now please call me",1
"I am thinking about hurting myself",1
"Just checking in to say I reached 30 days",0
"It has been a hard week but I am staying strong",0
"Everything is falling apart and I want to give up",1
